exports_t,exports_t1,netusers_t,netusers_t1,id
20.52735648,19.42316699,NA,NA,TEA;1992
46.12642598,16.35040601,NA,NA,TEC;1992
26.9345382,33.44277751,0,0,TGO;1992
36.97247567,35.96430952,3.43725e-4,5.22e-5,THA;1992
NA,NA,NA,NA,TJK;1992
67.125,38.98305085,NA,NA,TKM;1992
15.23417966,15.01724757,0.013651855,NA,TLA;1992
NA,NA,NA,NA,TLS;1992
19.56092127,20.55628068,NA,NA,TMN;1992
23.64196662,22.90329732,NA,NA,TON;1992
10.29501374,9.812335607,1.08892e-4,NA,TSA;1992
21.62103731,21.81161205,NA,NA,TSS;1992
NA,NA,NA,NA,TTO;1992
39.53508734,40.36562251,NA,NA,TUN;1992
14.39223573,13.84113011,NA,NA,TUR;1992
NA,NA,NA,NA,TUV;1992
12.44183789,10.26206119,NA,NA,TZA;1992
8.761088805,7.464430308,NA,NA,UGA;1992
23.98092494,26.11541544,NA,NA,UKR;1992
22.84057097,16.79031801,NA,NA,UMC;1992
20.44757482,20.6936683,NA,NA,URY;1992
9.708914906,9.660905122,1.724202539,1.163193726,USA;1992
NA,NA,NA,NA,UZB;1992
49.63649076,44.48578571,NA,NA,VCT;1992
25.50148942,30.34018197,0.012082134,NA,VEN;1992
NA,NA,NA,NA,VGB;1992
NA,NA,NA,NA,VIR;1992
34.74559582,30.91503934,NA,NA,VNM;1992
45.60946001,42.65396103,NA,NA,VUT;1992
20.65719853,19.20111745,NA,NA,WLD;1992
NA,NA,NA,NA,WSM;1992
NA,NA,NA,NA,XKX;1992
NA,NA,NA,NA,YEM;1992
20.70373681,21.0980438,0.038869106,0.013283591,ZAF;1992
NA,NA,NA,NA,ZMB;1992
27.22726311,23.88346897,NA,NA,ZWE;1992
NA,NA,NA,NA,ABW;1993
NA,NA,NA,NA,AFG;1993
NA,NA,NA,NA,AGO;1993
15.97882981,12.49959149,NA,NA,ALB;1993
NA,NA,NA,NA,AND;1993
28.71110986,30.54362937,NA,NA,ARB;1993
NA,NA,NA,NA,ARE;1993
6.909351534,6.598187472,0.029527065,0.002992874,ARG;1993
47.21897587,39.82075502,NA,NA,ARM;1993
NA,NA,NA,NA,ASM;1993
82.08287182,81.5706077,NA,NA,ATG;1993
17.57279145,16.69136445,1.974611016,1.768764913,AUS;1993
31.46389801,33.15526766,0.76534273,0.642817619,AUT;1993
57.46242038,86.20360573,NA,NA,AZE;1993
9.381960846,8.749180522,0,0,BDI;1993
56.10774129,58.80893059,0.199446059,0.100041027,BEL;1993
22.46438304,23.23914805,NA,NA,BEN;1993
8.951543281,8.846480369,NA,NA,BFA;1993
9.017269036,7.58667691,NA,NA,BGD;1993
38.20675811,47.11155378,0.002339042,NA,BGR;1993
83.87459725,84.38199172,NA,NA,BHR;1993
51.96668823,50.24702477,NA,NA,BHS;1993
NA,NA,NA,NA,BIH;1993
67.6142132,59.7826087,NA,NA,BLR;1993
46.69071144,49.71944417,NA,NA,BLZ;1993
NA,NA,NA,NA,BMU;1993
19.08076747,20.04576087,NA,NA,BOL;1993
10.50327024,10.86824925,0.025498253,0.012946262,BRA;1993
42.28433735,41.33367399,NA,NA,BRB;1993
54.76334037,57.87234043,NA,NA,BRN;1993
31.56841218,31.98648221,NA,NA,BTN;1993
47.0957972,48.1795631,NA,NA,BWA;1993
17.09955455,16.8657,NA,NA,CAF;1993
29.23766599,26.28757058,1.184557509,0.91598104,CAN;1993
